id,date,incident_type,severity,status,description,reported_by,created_at
1,2023-08-03,Malware,Critical,Resolved,Malicious software found on workstation 102,bob,2023-08-03 14:18:00
2,2024-06-22,Ransomware,Medium,In Progress,Encryption malware detected - 420 files affected,bob,2024-06-22 14:19:00
3,2024-04-02,XSS Attack,Low,Open,Cross-site scripting vulnerability exploited in comment section,charlie,2024-04-02 03:22:00
4,2024-04-01,Unauthorized Access,Critical,Open,Failed login attempts from IP 218.172.156.37,david,2024-04-01 23:44:00
5,2023-10-20,XSS Attack,Medium,In Progress,Cross-site scripting vulnerability exploited in comment section,alice,2023-10-20 01:12:00
6,2023-05-14,Phishing,High,Open,Suspicious email detected targeting finance department,david,2023-05-14 00:01:00
7,2023-06-06,SQL Injection,Medium,Closed,SQL injection attempt detected on login page,system,2023-06-06 02:50:00
8,2023-12-05,Phishing,Low,Resolved,Suspicious email detected targeting HR department,admin,2023-12-05 06:59:00
9,2024-09-24,Ransomware,Medium,In Progress,Encryption malware detected - 35 files affected,emma,2024-09-24 08:08:00
10,2023-02-09,XSS Attack,High,In Progress,Cross-site scripting vulnerability exploited in search bar,emma,2023-02-09 08:23:00
11,2024-11-23,DDoS,Medium,Open,Distributed denial of service attack on database,admin,2024-11-23 02:59:00
12,2024-03-19,XSS Attack,Medium,Closed,Cross-site scripting vulnerability exploited in user profile,david,2024-03-19 07:52:00
13,2024-04-15,Data Breach,Low,Open,Unauthorized data access - 842 records exposed,david,2024-04-15 01:09:00
14,2023-02-21,Data Breach,High,Resolved,Unauthorized data access - 8846 records exposed,emma,2023-02-21 03:34:00
15,2024-06-11,SQL Injection,Critical,Resolved,SQL injection attempt detected on API endpoint,charlie,2024-06-11 16:23:00
16,2024-11-04,Malware,Medium,Closed,Malicious software found on workstation 837,alice,2024-11-04 02:07:00
17,2023-06-17,Data Breach,Low,Open,Unauthorized data access - 5751 records exposed,emma,2023-06-17 00:42:00
18,2024-07-08,Malware,High,In Progress,Malicious software found on workstation 923,alice,2024-07-08 05:37:00
19,2024-09-19,XSS Attack,Medium,In Progress,Cross-site scripting vulnerability exploited in user profile,charlie,2024-09-19 14:38:00
20,2024-10-06,Unauthorized Access,High,In Progress,Failed login attempts from IP 32.29.205.206,david,2024-10-06 19:42:00
21,2024-10-12,XSS Attack,Critical,Open,Cross-site scripting vulnerability exploited in user profile,system,2024-10-12 01:51:00
22,2024-07-12,Malware,Critical,Closed,Malicious software found on workstation 134,alice,2024-07-12 22:12:00
23,2023-08-22,Brute Force,Low,Closed,Multiple password attempts detected - 452 attempts in 21 minutes,system,2023-08-22 08:13:00
24,2024-07-16,Brute Force,Low,In Progress,Multiple password attempts detected - 225 attempts in 53 minutes,alice,2024-07-16 19:55:00
25,2024-05-13,DDoS,Critical,Resolved,Distributed denial of service attack on API gateway,system,2024-05-13 03:46:00
26,2023-05-01,Malware,Medium,Open,Malicious software found on workstation 952,emma,2023-05-01 05:13:00
27,2024-06-05,Phishing,High,Resolved,Suspicious email detected targeting HR department,emma,2024-06-05 19:59:00
28,2024-08-03,Unauthorized Access,Critical,Resolved,Failed login attempts from IP 234.197.23.194,emma,2024-08-03 22:30:00
29,2024-04-13,XSS Attack,High,Resolved,Cross-site scripting vulnerability exploited in user profile,emma,2024-04-13 03:10:00
30,2023-12-03,Unauthorized Access,High,Open,Failed login attempts from IP 24.185.83.190,system,2023-12-03 12:05:00
31,2023-11-03,Phishing,Medium,In Progress,Suspicious email detected targeting finance department,system,2023-11-03 19:08:00
32,2023-08-12,Ransomware,Critical,Open,Encryption malware detected - 104 files affected,bob,2023-08-12 08:03:00
33,2023-03-24,Ransomware,Medium,Resolved,Encryption malware detected - 291 files affected,charlie,2023-03-24 14:59:00
34,2023-02-21,Unauthorized Access,Medium,Resolved,Failed login attempts from IP 3.8.213.216,charlie,2023-02-21 17:36:00
35,2024-03-13,DDoS,Critical,Resolved,Distributed denial of service attack on web server,bob,2024-03-13 07:57:00
36,2023-11-29,Social Engineering,Low,Resolved,Employee reported suspicious text message requesting credentials,charlie,2023-11-29 21:46:00
37,2024-04-16,XSS Attack,Critical,In Progress,Cross-site scripting vulnerability exploited in comment section,alice,2024-04-16 12:48:00
38,2023-07-10,DDoS,High,Closed,Distributed denial of service attack on web server,bob,2023-07-10 05:44:00
39,2023-06-30,SQL Injection,Low,Open,SQL injection attempt detected on login page,admin,2023-06-30 15:00:00
40,2024-01-04,Brute Force,Low,Closed,Multiple password attempts detected - 464 attempts in 34 minutes,david,2024-01-04 05:43:00
41,2024-01-17,Brute Force,Medium,Resolved,Multiple password attempts detected - 303 attempts in 37 minutes,charlie,2024-01-17 09:59:00
42,2023-11-15,Ransomware,Medium,Resolved,Encryption malware detected - 241 files affected,charlie,2023-11-15 15:44:00
43,2023-06-21,XSS Attack,High,Closed,Cross-site scripting vulnerability exploited in comment section,admin,2023-06-21 02:10:00
44,2024-08-29,Brute Force,High,Closed,Multiple password attempts detected - 69 attempts in 59 minutes,alice,2024-08-29 05:16:00
45,2023-09-23,Brute Force,Medium,Open,Multiple password attempts detected - 101 attempts in 17 minutes,admin,2023-09-23 08:05:00
46,2024-01-29,Social Engineering,High,Open,Employee reported suspicious email requesting credentials,charlie,2024-01-29 18:04:00
47,2024-11-25,Brute Force,Medium,Open,Multiple password attempts detected - 427 attempts in 13 minutes,david,2024-11-25 16:37:00
48,2023-01-22,Social Engineering,Low,Open,Employee reported suspicious phone call requesting credentials,bob,2023-01-22 16:24:00
49,2023-10-15,Data Breach,Critical,In Progress,Unauthorized data access - 6356 records exposed,david,2023-10-15 19:30:00
50,2024-05-28,Phishing,Critical,Open,Suspicious email detected targeting HR department,system,2024-05-28 02:37:00
51,2024-11-21,Brute Force,Critical,Resolved,Multiple password attempts detected - 165 attempts in 35 minutes,system,2024-11-21 18:53:00
52,2023-09-10,SQL Injection,Critical,Resolved,SQL injection attempt detected on API endpoint,alice,2023-09-10 09:05:00
53,2024-06-19,SQL Injection,Critical,Open,SQL injection attempt detected on search form,charlie,2024-06-19 01:57:00
54,2024-09-15,XSS Attack,High,Closed,Cross-site scripting vulnerability exploited in user profile,admin,2024-09-15 08:21:00
55,2024-09-21,SQL Injection,Medium,Open,SQL injection attempt detected on search form,bob,2024-09-21 04:24:00
56,2024-06-08,Unauthorized Access,Low,Resolved,Failed login attempts from IP 119.197.155.66,emma,2024-06-08 20:34:00
57,2023-03-23,Ransomware,Medium,Open,Encryption malware detected - 48 files affected,emma,2023-03-23 07:17:00
58,2024-02-21,Phishing,Low,In Progress,Suspicious email detected targeting HR department,alice,2024-02-21 20:40:00
59,2024-03-06,Malware,Medium,Closed,Malicious software found on workstation 790,system,2024-03-06 21:13:00
60,2023-08-20,DDoS,Medium,Resolved,Distributed denial of service attack on database,charlie,2023-08-20 00:30:00
61,2023-08-29,XSS Attack,Critical,Resolved,Cross-site scripting vulnerability exploited in user profile,alice,2023-08-29 04:21:00
62,2024-07-26,DDoS,Low,In Progress,Distributed denial of service attack on web server,alice,2024-07-26 23:56:00
63,2023-12-12,Malware,Low,In Progress,Malicious software found on workstation 395,alice,2023-12-12 22:03:00
64,2024-03-25,Brute Force,Critical,Resolved,Multiple password attempts detected - 323 attempts in 23 minutes,emma,2024-03-25 23:47:00
65,2024-06-06,Phishing,Medium,Resolved,Suspicious email detected targeting IT department,alice,2024-06-06 22:54:00
66,2023-02-14,Unauthorized Access,Medium,Closed,Failed login attempts from IP 200.252.153.132,bob,2023-02-14 20:56:00
67,2023-05-12,Social Engineering,Critical,Resolved,Employee reported suspicious phone call requesting credentials,bob,2023-05-12 18:36:00
68,2024-08-28,SQL Injection,Medium,Closed,SQL injection attempt detected on login page,system,2024-08-28 12:10:00
69,2023-03-02,Social Engineering,Low,Open,Employee reported suspicious email requesting credentials,system,2023-03-02 04:01:00
70,2024-02-14,Phishing,Medium,In Progress,Suspicious email detected targeting finance department,admin,2024-02-14 11:54:00
71,2023-09-14,Phishing,Critical,Closed,Suspicious email detected targeting HR department,admin,2023-09-14 00:02:00
72,2024-03-10,Malware,Critical,In Progress,Malicious software found on workstation 156,emma,2024-03-10 11:13:00
73,2023-01-20,Phishing,Critical,Resolved,Suspicious email detected targeting IT department,emma,2023-01-20 18:12:00
74,2023-09-29,Phishing,High,Resolved,Suspicious email detected targeting finance department,david,2023-09-29 05:44:00
75,2024-01-20,Brute Force,Critical,In Progress,Multiple password attempts detected - 292 attempts in 20 minutes,system,2024-01-20 20:18:00
76,2024-06-09,Ransomware,Critical,Closed,Encryption malware detected - 313 files affected,david,2024-06-09 11:23:00
77,2024-04-17,SQL Injection,High,Closed,SQL injection attempt detected on login page,system,2024-04-17 14:21:00
78,2024-06-05,DDoS,Critical,In Progress,Distributed denial of service attack on API gateway,bob,2024-06-05 12:11:00
79,2023-01-04,SQL Injection,Critical,In Progress,SQL injection attempt detected on API endpoint,david,2023-01-04 05:44:00
80,2023-11-13,Ransomware,High,Open,Encryption malware detected - 189 files affected,alice,2023-11-13 11:51:00
