id,dataset_name,category,source,last_update,record_count,file_size_mb,created_at
1,Smart Home Data 2023,IoT,Kaggle,2025-10-21,2058,1.87,2025-01-06 14:20:31
2,Vehicle Telemetry 2021,IoT,Internal,2025-11-17,3091614,2971.99,2024-05-10 14:20:31
3,Graduation Rates 2022,Education,GitHub,2025-03-07,1104,0.73,2023-08-29 14:20:31
4,Store Performance 2024,Retail,UCI ML Repository,2025-01-23,9252,2.03,2024-12-02 14:20:31
5,Social Media Engagement 2020,Marketing,Company Database,2025-01-01,8271084,1015.92,2023-04-20 14:20:31
6,Clinical Trials 2022,Healthcare,Web Scraping,2025-08-16,68083,14.25,2024-12-14 14:20:31
7,Production Metrics 2023,Manufacturing,AWS Open Data,2024-12-23,880704,431.51,2023-10-25 14:20:31
8,Customer Behavior Analysis 2022,Marketing,Web Scraping,2025-04-01,89242,42.42,2023-12-11 14:20:31
9,Product Reviews 2024,E-commerce,GitHub,2025-03-14,2046058,802.08,2023-10-05 14:20:31
10,Clinical Trials 2023,Healthcare,Internal,2025-09-24,9367769,5469.82,2024-04-11 14:20:31
11,Sentiment Analysis 2023,Social Media,Web Scraping,2025-02-20,82685,81.24,2024-03-21 14:20:31
12,Sales Transactions 2023,Retail,Web Scraping,2025-03-26,542502,456.53,2023-09-01 14:20:31
13,Transaction Records 2024,Finance,AWS Open Data,2025-03-14,12351,9.16,2024-07-07 14:20:31
14,Transaction Records 2022,Finance,Web Scraping,2025-10-18,333849,163.24,2025-08-20 14:20:31
15,Environmental Monitoring 2021,IoT,UCI ML Repository,2024-12-24,4590339,985.24,2023-10-29 14:20:31
16,User Interactions 2021,Social Media,API Collection,2024-12-18,64121,11.41,2023-01-19 14:20:31
17,Sensor Readings 2020,IoT,Google Dataset Search,2025-09-21,7401997,4619.52,2025-03-24 14:20:31
18,Customer Foot Traffic 2024,Retail,GitHub,2025-11-13,3001,1.09,2024-12-27 14:20:31
19,Transaction Records 2021,Finance,Web Scraping,2025-08-27,3631,2.22,2025-01-14 14:20:31
20,Quality Control 2024,Manufacturing,API Collection,2025-10-15,45288,25.28,2023-11-25 14:20:31
21,User Purchase History 2020,E-commerce,UCI ML Repository,2025-08-01,845990,496.5,2025-01-09 14:20:31
22,Medical Imaging 2021,Healthcare,GitHub,2025-04-02,7278673,6193.52,2024-08-22 14:20:31
23,Smart Home Data 2021,IoT,UCI ML Repository,2025-05-20,6960748,2932.05,2024-09-04 14:20:31
24,Product Reviews 2021,E-commerce,Google Dataset Search,2025-08-22,2776885,2233.58,2025-07-10 14:20:31
25,Course Enrollment 2023,Education,Company Database,2025-02-07,8416821,8130.17,2024-01-14 14:20:31
26,Customer Foot Traffic 2024,Retail,Internal,2025-09-18,21691,13.25,2024-02-15 14:20:31
27,Supply Chain 2020,Manufacturing,Internal,2025-04-28,6438357,3521.72,2023-07-04 14:20:31
