ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
TKT-000001,High,In Progress,Printer,Paper jam,Printer malfunction in Floor 2,2025-08-22,,Network Team,2025-08-22 14:20:31
TKT-000002,Medium,Resolved,Network,WiFi not working,Network connectivity issue affecting 6 users in Remote,2025-08-25,2025-09-17,Security Team,2025-08-25 14:20:31
TKT-000003,Medium,Closed,Database,Database connection error,Database issue affecting staging environment,2025-07-13,2025-07-24,DevOps Team,2025-07-13 14:20:31
TKT-000004,Medium,Resolved,Server,Application deployment,Server issue on web-server-01,2025-09-22,2025-10-20,Database Team,2025-09-22 14:20:31
TKT-000005,Medium,On Hold,Database,Query performance slow,Database issue affecting production environment,2025-12-05,,Support Team,2025-12-05 14:20:31
TKT-000006,High,On Hold,Printer,Paper jam,Printer malfunction in Floor 1,2025-08-18,,Support Team,2025-08-18 14:20:31
TKT-000007,High,In Progress,Security,Security audit,Security concern reported. Impact: Single user,2025-10-12,,Infrastructure Team,2025-10-12 14:20:31
TKT-000008,High,On Hold,Software,License renewal,Software problem affecting productivity. Application: IDE,2025-10-15,,Help Desk,2025-10-15 14:20:31
TKT-000009,High,On Hold,Database,Data corruption,Database issue affecting production environment,2025-07-18,,Support Team,2025-07-18 14:20:31
TKT-000010,High,Closed,Hardware,Monitor flickering,Hardware issue reported by user. Device: Peripheral,2025-10-28,2025-11-04,DevOps Team,2025-10-28 14:20:31
TKT-000011,Critical,In Progress,Network,Network printer offline,Network connectivity issue affecting 7 users in Remote,2025-07-15,,Infrastructure Team,2025-07-15 14:20:31
TKT-000012,Medium,In Progress,Network,WiFi not working,Network connectivity issue affecting 28 users in Building A,2025-06-11,,Help Desk,2025-06-11 14:20:31
TKT-000013,High,Closed,Database,Data corruption,Database issue affecting production environment,2025-09-18,2025-10-24,Infrastructure Team,2025-09-18 14:20:31
TKT-000014,High,On Hold,Printer,Printer not printing,Printer malfunction in Floor 2,2025-11-10,,Database Team,2025-11-10 14:20:31
TKT-000015,Low,On Hold,Printer,Print quality issue,Printer malfunction in Reception,2025-11-20,,DevOps Team,2025-11-20 14:20:31
